14	УФО	84	8100565,371	8579299,941	8577278,089	8930510,842
15	УФО	85	8534829,485	8540747,77	8968433,513	9025364,157
16	УФО	86	6572625,777	8424919,193	7116311,656	8777853,518
17	УФО	87	7052370,699	8423399,044	7454026,632	8772895,455
18	УФО	88	7666383,253	8377351,817	8006599,325	8688085,878
19	УФО	89	7915621,251	8327722,658	8312497,045	8648398,299
20	УФО	90	8254057,084	8168112,443	8606482,789	8631663,37
21	УФО	91	6581366,941	7949488,254	6937239,737	8456178,123
22	УФО	92	6892237,818	8080984,497	7383857,297	8464115,639
23	УФО	93	7324590,512	8232340,175	7768322,271	8415143,112
24	УФО	94	7728554,049	8244312,595	8019106,614	8398090,115
25	УФО	95	7655584,924	8104546,17	7884185,381	8250596,462
26	УФО	96	7865929,094	8162490,035	8079448,271	8271234,003
27	УФО	97	8052460,718	8070414,851	8313604,99	8219640,15
28	УФО	98	8091354,545	7925158,311	8270742,404	8095814,902
29	УФО	99	6594106,512	7659742,287	6961052,285	7981250,09
30	УФО	100	6889614,642	7740478,775	7301042,548	8032843,943
31	УФО	101	7225993,154	7723132,827	7629126,538	8110896,182
32	УФО	102	7607066,693	7601979,395	7809043,564	8128094,133
33	УФО	103	6605535,36	7391001,645	7027198,25	7698145,357
34	УФО	104	6925333,463	7498384,541	7400261,496	7785458,031
35	УФО	105	7368594,115	7339067,889	7900659,102	7714516,483
36	УФО	106	6652812,085	7174269,309	7000739,864	7453405,284
37	УФО	107	6959592,828	7263043,391	7419403,731	7526497,473
38	УФО	108	6650845,066	6887533,997	6910781,351	7199404,776
						
						
7	СФО	109	8534829,485	8174328,192	8967524,715	8565307,942
8	СФО	110	8635249,67	7803835,586	9120231,89	8203886,386
9	СФО	111	7997333,567	7706336,432	8318802,96	7899482,652
10	СФО	112	9068439,598	7661754,051	9386733,985	8139592,507
11	СФО	113	9420071,552	7671276,352	9628966,715	8072123,622
12	СФО	114	7825354,057	7312106,477	8222229,85	7604471,645
13	СФО	115	8112427,548	7047522,615	8547668,001	7473502,633
14	СФО	116	8481522,036	7326658,589	8956450,069	7481440,149
15	СФО	117	8485490,794	7035616,341	8748751,737	7313429,396
16	СФО	118	8649532,788	6876866,023	9004075,164	7158647,837
17	СФО	119	8760658,011	6699594,835	8895595,781	6927136,957
18	СФО	120	8849293,605	6546136,195	9156210,885	6748542,85
19	СФО	121	8873106,152	7308137,719	9371846,733	7466888,037
20	СФО	122	8953804,23	6919199,441	9185315,11	7175845,788
21	СФО	123	9008043,922	6706209,432	9189283,868	6891418,136
22	СФО	124	9211773,496	7452830,33	9557110,421	7703690,594
23	СФО	125	9340096,67	7313429,396	9676118,175	7506575,616
24	СФО	126	9226325,609	7081918,517	9432983,79	7380563,326
25	СФО	127	9135044,176	6857022,234	9432701,021	7157324,917
26	СФО	128	9402273,877	7081918,517	9775337,123	7343856,541
27	СФО	129	9346711,266	6733990,737	9609972,209	7117637,338
28	СФО	130	9406242,635	6577880,588	9563781,909	6763094,962
29	СФО	131	9476357,359	6520911,289	9695938,922	6609636,322
30	СФО	132	9673472,336	6420458,86	9879847,749	6554073,711
31	СФО	133	9688024,449	6272291,897	9910274,893	6445594,327
32	СФО	134	9508137,637	7487729,534	9737183,014	7626299,814
33	СФО	135	9715419,462	7540006,669	9901157,333	7638961,034
34	СФО	136	9886869,805	7532069,153	10094832,72	7672298,6
35	СФО	137	10066714,51	7528403,785	10213558,56	7833998,146
36	СФО	138	10173870,98	7814154,356	10333944,21	8035081,881
37	СФО	139	10165633,9	7452214,367	10433392,77	7678698,154
38	СФО	140	10394782,63	7408243,905	10745620,83	7601919,293
39	СФО	141	10681591,53	7581612,481	11025021,39	8669052,156
40	СФО	142	10690058,22	7433643,956	11025021,39	7630494,35
41	СФО	143	10949327,7	8110006,608	11501801,51	8526176,87
42	СФО	144	10866271,07	7268043,652	11085321,27	7481269,051
43	СФО	145	11008352.603	7191091,362	11291620,9	7375898,528
44	СФО	146	11243355,99	7121778,958	11508601,31	7249625,88
45	СФО	147	11385834,4	6941386,623	11546325,95	7147311,3
46	СФО	148	11518126,33	6834970,051	11714519,83	6989292,839
47	СФО	149	11670575,3	6954657,344	11882458,31	7192224,411
48	СФО	150	11455949,12	7147311,3	11926908,4	7436699,9
49	СФО	151	11716299,64	7399658,159	12003108,55	7645191,983
50	СФО	152	11740376,78	7600084,616	11964961,43	7925121,71
51	СФО	153	11916106,11	7872328,993	12226152,75	8100606,957
52	СФО	154	12174558,89	8056950,62	12361884,27	8272057,3
												
8	ДФО	155	12266898,66	8209549,362	12589690,97	8556154,222
9	ДФО	156	12373955,91	9592562,284	12614462,64	10019600,64
10	ДФО	157	12403564,58	9094141,358	12589037,87	9640946,796
11	ДФО	158	12485850,16	8764254,413	12763663,22	9147131,218
12	ДФО	159	12470338,93	8414864,373	12858351,17	8652581,698
13	ДФО	160	12793104,79	8404643,109	13155584,68	8673631,429
14	ДФО	161	13095682,89	8367158,844	13483827,42	8692331,345
15	ДФО	162	13450489,85	8023693,398	13999189,8	8562744,977
16	ДФО	163	13683605,87	7426384,883	14118581,74	8092879,98
17	ДФО	164	13707762,92	6865814,497	14555607,74	7503093,689
18	ДФО	165	14108258,33	6077324,922	14942477,02	7007802,382
19	ДФО	166	14831351,8	5936237,739	15775916,18	7110990,089
20	ДФО	167	14426028,19	5020435,404	15495297,96	6055712,789
21	ДФО	168	15673755,95	5697618,373	16236790,4	7221621,421
22	ДФО	169	13106828,49	9143951,857	13906930,09	9530216,745
23	ДФО	170	13840254,95	9112202,191	14246653,74	9441205,766
24	ДФО	171	14057742,89	8657462,108	14495893,76	9274302,519
25	ДФО	172	14436626,98	8577695,924	14911555,01	9038765,789
26	ДФО	173	16715086,5	8250677,84	17047139,25	8623038,436
27	ДФО	174	17260482,04	6873855,625	17790708,1	7376688,626
28	ДФО	175	19630337,64	9294445,28	19895633,1	9589604,426
